artifact_id,source,access_url,resolved_url,filename,path,retrieved_at,source_version,size_bytes,sha256,licence_class,attribution,geographic_scope,filter_method,record_count_before_filter,record_count_after_relevance_filter,record_count_after_gauteng_filter,errors_limitations
geonames:featureCodes_en.txt,geonames,https://download.geonames.org/export/dump/featureCodes_en.txt,https://download.geonames.org/export/dump/featureCodes_en.txt,featureCodes_en.txt,raw/geonames/featureCodes_en.txt,2026-08-14T15:26:54Z,"{""http_content_length"":""58642"",""http_etag"":""\""e512-658f82bcdaf07\"""",""http_last_modified"":""Fri, 14 Aug 2026 01:59:30 GMT"",""reference"":""HTTP Last-Modified/ETag returned at retrieval"",""resolved_url_at_retrieval"":""https://download.geonames.org/export/dump/featureCodes_en.txt""}",58642,d44f129c1cffdeabf759c99fe7ea5b84f615c7f3e7366fb76ccf990f408f6af7,CC_BY_4,GeoNames geographic database; attribution required by the GeoNames licence.,Gauteng candidate catalogue; source-native scope preserved,"ZA.zip: country_code=ZA, admin1_code=06, then Gauteng polygon gate; supporting files parsed as lookup/evidence inputs",685,,,[]
geonames:hierarchy.zip,geonames,https://download.geonames.org/export/dump/hierarchy.zip,https://download.geonames.org/export/dump/hierarchy.zip,hierarchy.zip,raw/geonames/hierarchy.zip,2026-08-14T15:26:56Z,"{""http_content_length"":""2132224"",""http_etag"":""\""208900-658f865e9c756\"""",""http_last_modified"":""Fri, 14 Aug 2026 02:15:45 GMT"",""reference"":""HTTP Last-Modified/ETag returned at retrieval"",""resolved_url_at_retrieval"":""https://download.geonames.org/export/dump/hierarchy.zip""}",2132224,7dedceeaf7ec72e0fd2ccb0be91da22ed0d1dfc37bb055a9de865da90656f153,CC_BY_4,GeoNames geographic database; attribution required by the GeoNames licence.,Gauteng candidate catalogue; source-native scope preserved,"ZA.zip: country_code=ZA, admin1_code=06, then Gauteng polygon gate; supporting files parsed as lookup/evidence inputs",519072,,,[]
geonames:readme.txt,geonames,https://download.geonames.org/export/dump/readme.txt,https://download.geonames.org/export/dump/readme.txt,readme.txt,raw/geonames/readme.txt,2026-08-14T15:26:59Z,"{""http_content_length"":""8843"",""http_etag"":""\""228b-658f82bca867c\"""",""http_last_modified"":""Fri, 14 Aug 2026 01:59:30 GMT"",""reference"":""HTTP Last-Modified/ETag returned at retrieval"",""resolved_url_at_retrieval"":""https://download.geonames.org/export/dump/readme.txt""}",8843,b1957379b6c1242c700c98ac9a8aa0a09f56c3c0a50ee72175527005f48ef2c5,CC_BY_4,GeoNames geographic database; attribution required by the GeoNames licence.,Gauteng candidate catalogue; source-native scope preserved,"ZA.zip: country_code=ZA, admin1_code=06, then Gauteng polygon gate; supporting files parsed as lookup/evidence inputs",,,,[]
nga_gns:country:zaf,nga_gns,https://geonames.nga.mil/geonames/GNSData/South%20Africa.zip,https://geonames.nga.mil/geonames/GNSData/South%20Africa.zip,South Africa.zip,raw/nga-gns/South Africa.zip,2026-08-14T15:47:46Z,"{""country_code"":""ZAF"",""country_index_row"":""<tr id='ZAF' cc='ZAF' cn='South Africa' fc='0' nc='0' num='118247'><th class='translate'>South Africa</th><td>ZAF</td><td class='num'>118247</td><td>2026-08-12</td><td class='fc'>0</td><td class='nc'>0</td><td>Wed, 12 Aug 2026</td><td><a href='https://geonames.nga.mil/geonames/GNSData/South Africa.zip' target='download' class='piwik_download download'>ZAF</a></td><th class='rssLink'><a href='https://geonames.nga.mil/geonames/GNSData/RSS/ZAF.xml' target='_blank' type='application/rss+xml' title='Right-click, select, Copy link address'><img src='./resources/rss.png' width='20' height='20'/></a></th></tr>"",""http_etag"":""W/\""12097342-1786552184791\"""",""http_last_modified"":""Wed, 12 Aug 2026 16:29:44 GMT"",""index_reference_date"":""2026-08-12"",""official_record_count"":118247,""resolved_url_at_retrieval"":""https://geonames.nga.mil/geonames/GNSData/South%20Africa.zip""}",12097342,6bf0df62651cb63f57a20264549b1c4b1d55523e2165ffff07f55cb188809508,NO_RESTRICTION_GNS,Toponymic information is based on the NGA Geographic Names Database and maintained by the National Geospatial-Intelligence Agency.,Gauteng candidate catalogue; source-native scope preserved,official South Africa country file; then coordinate gate against Gauteng polygon,118260,,2130,[]
nga_gns:data-dictionary,nga_gns,https://geonames.nga.mil/geonames/GNSSearch/GNSDocs/pdfdocs/GNS_Data_Dictionary.pdf,https://geonames.nga.mil/geonames/GNSSearch/GNSDocs/pdfdocs/GNS_Data_Dictionary.pdf,GNS_Data_Dictionary.pdf,raw/nga-gns/GNS_Data_Dictionary.pdf,2026-08-14T15:27:26Z,"{""http_etag"":""W/\""187882-1717037858000\"""",""http_last_modified"":""Thu, 30 May 2024 02:57:38 GMT"",""reference_document"":true,""resolved_url_at_retrieval"":""https://geonames.nga.mil/geonames/GNSSearch/GNSDocs/pdfdocs/GNS_Data_Dictionary.pdf""}",187882,4d8ef76a7b4968f487fc6a090e45cd442e2df7b9e5db760185a9d089cd55aff1,NO_RESTRICTION_GNS,Toponymic information is based on the NGA Geographic Names Database and maintained by the National Geospatial-Intelligence Agency.,Gauteng candidate catalogue; source-native scope preserved,reference document; no catalogue rows,,,,[]
nga_gns:data-index,nga_gns,https://geonames.nga.mil/geonames/GNSData/data/data.json,https://geonames.nga.mil/geonames/GNSData/data/data.json,data.json,raw/nga-gns/data.json,2026-08-14T15:27:10Z,"{""discovery_page"":true,""http_etag"":""W/\""170017-1786630578869\"""",""http_last_modified"":""Thu, 13 Aug 2026 14:16:18 GMT"",""resolved_url_at_retrieval"":""https://geonames.nga.mil/geonames/GNSData/data/data.json""}",170017,4c13be59eeefe050c72fc5f815d6eefe2524de02e0d9ce7227339d0dea19e673,NO_RESTRICTION_GNS,Toponymic information is based on the NGA Geographic Names Database and maintained by the National Geospatial-Intelligence Agency.,Gauteng candidate catalogue; source-native scope preserved,not yet extracted,,,,[]
nga_gns:landing,nga_gns,https://geonames.nga.mil/geonames/GNSData/,https://geonames.nga.mil/geonames/GNSData/,GNSData-index.html,raw/nga-gns/GNSData-index.html,2026-08-14T15:27:07Z,"{""discovery_page"":true,""http_etag"":""W/\""34583-1727116916000\"""",""http_last_modified"":""Mon, 23 Sep 2024 18:41:56 GMT"",""resolved_url_at_retrieval"":""https://geonames.nga.mil/geonames/GNSData/""}",34583,6bc276fbbe9a5c31509f47349249ba890f7ed466aaf32b717f1c6c7a26258d72,NO_RESTRICTION_GNS,Toponymic information is based on the NGA Geographic Names Database and maintained by the National Geospatial-Intelligence Agency.,Gauteng candidate catalogue; source-native scope preserved,not yet extracted,,,,[]
nga_gns:reference,nga_gns,https://geonames.nga.mil/geonames/GNSHome/reference.html,https://geonames.nga.mil/geonames/GNSHome/reference.html,reference.html,raw/nga-gns/reference.html,2026-08-14T15:27:20Z,"{""http_etag"":""W/\""123564-1783354554000\"""",""http_last_modified"":""Mon, 06 Jul 2026 16:15:54 GMT"",""reference_document"":true,""resolved_url_at_retrieval"":""https://geonames.nga.mil/geonames/GNSHome/reference.html""}",123564,8315ac883ebe7b606991f90c1ee8c7dbc509ac6a6a69b006f18e46c2fa019d2f,NO_RESTRICTION_GNS,Toponymic information is based on the NGA Geographic Names Database and maintained by the National Geospatial-Intelligence Agency.,Gauteng candidate catalogue; source-native scope preserved,reference document; no catalogue rows,,,,[]
osm:geofabrik:south-africa-latest-pbf,osm,https://download.geofabrik.de/africa/south-africa-latest.osm.pbf,https://download.geofabrik.de/africa/south-africa-260813.osm.pbf,south-africa-latest.osm.pbf,raw/osm/south-africa-latest.osm.pbf,2026-08-14T16:11:34Z,"{""geofabrik_access_url"":""https://download.geofabrik.de/africa/south-africa-latest.osm.pbf"",""http_content_length"":""418135973"",""http_etag"":""\""18ec3fa5-658f937347815\"""",""http_last_modified"":""Fri, 14 Aug 2026 03:14:16 GMT"",""resolved_filename_is_date_versioned"":true,""resolved_url_at_retrieval"":""https://download.geofabrik.de/africa/south-africa-260813.osm.pbf""}",418135973,276260d18352d6128e439cfd65bd25d5b53e2c5aa1ef9584ec9b959ad7a67629,ODBL_1,© OpenStreetMap contributors; Open Database License 1.0.,Gauteng candidate catalogue; source-native scope preserved,PBF streaming extraction; named Gauteng place values and named residential landuse/residential candidates; Gauteng geometry gate,87569135,12702,2393,[]
wikidata:sparql:001,wikidata,https://query.wikidata.org/sparql,https://query.wikidata.org/sparql,wikidata-query-001.json,raw/wikidata/wikidata-query-001.json,2026-08-14T18:07:17Z,"{""qids"":[""Q1026420"",""Q104661620"",""Q1054450"",""Q105821049"",""Q10657170"",""Q107463172"",""Q10954427"",""Q10964684"",""Q109894331"",""Q115917532"",""Q117273918"",""Q120736971"",""Q120737255"",""Q123757919"",""Q12720150"",""Q13034349"",""Q13034452"",""Q13034524"",""Q13034699"",""Q13034818"",""Q13035158"",""Q13035488"",""Q13035643"",""Q13036173"",""Q13036408"",""Q1422014"",""Q14943754"",""Q15221434"",""Q15223800"",""Q15228840"",""Q15243203"",""Q15268605"",""Q1576076"",""Q1580709"",""Q1594009"",""Q15975573"",""Q15975633"",""Q15976138"",""Q15976182"",""Q15976206"",""Q1637702"",""Q1639345"",""Q1752859"",""Q19623181"",""Q19623227"",""Q19623403"",""Q19623823"",""Q1989529"",""Q20127605"",""Q2082061"",""Q20982093"",""Q21055956"",""Q21056416"",""Q21064982"",""Q21067498"",""Q21067540"",""Q21069446"",""Q21072146"",""Q21072263"",""Q2166182"",""Q2167759"",""Q217426"",""Q2296366"",""Q2307316"",""Q2370739"",""Q2450605"",""Q2468130"",""Q25613578"",""Q25613579"",""Q25613584"",""Q25613940"",""Q25613941"",""Q25613942"",""Q25613948"",""Q25613962"",""Q25614001"",""Q25614068"",""Q25614073"",""Q2566863"",""Q2612280""],""query_digest"":""81739379ae251263b346"",""query_scope"":""OSM-referenced QIDs"",""resolved_url_at_retrieval"":""https://query.wikidata.org/sparql""}",119113,fe04a315e51b93167c406f5cbf39557718ceb67609cccc68b5e2140fda2270b2,CC0,Wikidata contributors; CC0 public-domain dedication.,Gauteng candidate catalogue; source-native scope preserved,SPARQL result parsed as source assertions; coordinate gate reapplied,143,,80,[]
wikidata:sparql:002,wikidata,https://query.wikidata.org/sparql,https://query.wikidata.org/sparql,wikidata-query-002.json,raw/wikidata/wikidata-query-002.json,2026-08-14T18:07:20Z,"{""qids"":[""Q2657161"",""Q2671197"",""Q2683075"",""Q2751060"",""Q3006868"",""Q3006929"",""Q30139258"",""Q30232883"",""Q30233705"",""Q30278170"",""Q30278176"",""Q30278452"",""Q30278546"",""Q30333149"",""Q30333219"",""Q30333355"",""Q30333615"",""Q3093449"",""Q3093451"",""Q3132723"",""Q31401014"",""Q31740107"",""Q3211098"",""Q32148209"",""Q3299631"",""Q3365526"",""Q3437588"",""Q3445665"",""Q34647"",""Q3642766"",""Q3642863"",""Q3643050"",""Q3643154"",""Q3643234"",""Q3643770"",""Q3644375"",""Q3644425"",""Q3644550"",""Q37922851"",""Q3926"",""Q4707832"",""Q47165871"",""Q4860484"",""Q4879251"",""Q48814712"",""Q4915757"",""Q4936332"",""Q4938403"",""Q4941079"",""Q4944129"",""Q4944180"",""Q4972009"",""Q4981045"",""Q503056"",""Q5177189"",""Q5181671"",""Q5242489"",""Q5286976"",""Q5302159"",""Q5312112"",""Q5338776"",""Q536114"",""Q5367473"",""Q5401267"",""Q5405099"",""Q5445283"",""Q55638350"",""Q56245323"",""Q6000208"",""Q6013527"",""Q60764247"",""Q61356071"",""Q61357196"",""Q61357469"",""Q61358314"",""Q61358412"",""Q61359010"",""Q61359147"",""Q61359338"",""Q61359758""],""query_digest"":""8a29b434663ffe69edf7"",""query_scope"":""OSM-referenced QIDs"",""resolved_url_at_retrieval"":""https://query.wikidata.org/sparql""}",218827,305efd703e32fff4498477fb3008eeb64cce8ed7e8f8d83d788927e6a4b73500,CC0,Wikidata contributors; CC0 public-domain dedication.,Gauteng candidate catalogue; source-native scope preserved,SPARQL result parsed as source assertions; coordinate gate reapplied,241,,80,[]
wikidata:sparql:003,wikidata,https://query.wikidata.org/sparql,https://query.wikidata.org/sparql,wikidata-query-003.json,raw/wikidata/wikidata-query-003.json,2026-08-14T18:07:22Z,"{""qids"":[""Q61359768"",""Q61360146"",""Q61360257"",""Q61360269"",""Q614689"",""Q6180441"",""Q619523"",""Q639518"",""Q6403230"",""Q644506"",""Q6449873"",""Q6497896"",""Q66011820"",""Q6729636"",""Q6771616"",""Q6773867"",""Q6894238"",""Q6912963"",""Q6933861"",""Q6936880"",""Q7020608"",""Q7051384"",""Q7059660"",""Q7070678"",""Q7074743"",""Q7099614"",""Q7099627"",""Q7138733"",""Q7242178"",""Q7251201"",""Q7292023"",""Q7295471"",""Q7307193"",""Q7310089"",""Q7333189"",""Q7336205"",""Q7352072"",""Q7368060"",""Q7427387"",""Q744437"",""Q747507"",""Q7563836"",""Q761408"",""Q7623751"",""Q7786667"",""Q7797747"",""Q7849323"",""Q7913620"",""Q7982095"",""Q8033095"",""Q8072844"",""Q8073531"",""Q818106"",""Q87109545"",""Q891229"",""Q896447"",""Q897489"",""Q927671"",""Q96377352"",""Q989955"",""Q993721""],""query_digest"":""e6abf40c1514c576dd8e"",""query_scope"":""OSM-referenced QIDs"",""resolved_url_at_retrieval"":""https://query.wikidata.org/sparql""}",80719,ddfd71b79e14283b74c317f150a59bc9bc082fe5c1f5c9918e2a51557d9124fd,CC0,Wikidata contributors; CC0 public-domain dedication.,Gauteng candidate catalogue; source-native scope preserved,SPARQL result parsed as source assertions; coordinate gate reapplied,97,,61,[]
